ucid,sdp_10km,sld_10km,detour_10km
13059,63.7196947,9.387113487,5.787996629
9942,53.04498782,8.368731678,5.338473959
9934,51.31080504,9.133753349,4.617713013
10400,49.06969764,8.756834055,4.603588847
9782,52.2304649,9.47913543,4.510045224
3603,49.94042127,9.145936891,4.460394257
9643,49.91119098,9.155413325,4.451549724
2615,44.85658547,8.544468293,4.249780785
11661,42.75547165,8.156664478,4.241783791
13087,47.26844107,9.13596548,4.173885691
5704,48.13882386,9.356092495,4.14518469
2843,45.80364946,9.029574922,4.072625218
9308,46.86077522,9.340984555,4.016684799
5187,46.45216907,9.279087991,4.006113651
11573,39.15537175,7.888488489,3.96360891
4430,45.66117695,9.241114709,3.941089726
10071,44.48490593,9.049524771,3.915717351
9960,45.43986698,9.255021586,3.909752674
9908,44.91444637,9.210259345,3.876566955
4935,44.81687435,9.193474307,3.874857192
5043,44.59909116,9.288253807,3.801665856
4285,38.6897491,8.061192608,3.799506845
4885,44.40332881,9.277649795,3.786053558
2286,45.57451219,9.523733961,3.785361748
9963,45.08130944,9.476036987,3.757401169
4373,44.06001715,9.292831695,3.741290771
9086,45.51784065,9.709824233,3.687813039
8681,43.43716064,9.357175952,3.642122887
4556,42.98567992,9.268211125,3.637969436
7519,41.67369885,9.137922166,3.560522414
3215,41.04331199,9.074433749,3.522961225
2058,41.92446342,9.271880772,3.521678444
8700,42.17104814,9.37168566,3.49983596
4879,35.03217818,7.877557734,3.447086186
3928,41.38827598,9.313373746,3.443961674
5571,41.80682865,9.459040605,3.419774731
13077,39.76707605,9.002612441,3.417281796
4115,39.66296513,8.980233775,3.416696283
3984,40.36306091,9.167632374,3.402779176
313,39.57189625,9.023212126,3.385566437
8778,40.77064062,9.372440588,3.350055915
9873,40.68815049,9.498340706,3.283711414
2899,39.6634813,9.272479932,3.277548357
5597,32.46888048,7.617488835,3.262412612
5863,34.73470274,8.160748786,3.256313195
9652,38.77106102,9.125316896,3.248735848
4352,37.95815936,8.992742379,3.220977068
5536,39.27657259,9.368468975,3.192421696
9920,38.91733479,9.345809311,3.164148176
9856,37.67972412,9.06266722,3.157685944
6725,38.16867385,9.190288422,3.153152991
4366,37.55777253,9.076369492,3.13797307
9187,36.31211429,8.788222667,3.131906492
5561,40.14022724,9.757027794,3.113981029
12120,37.49798617,9.134511823,3.105089237
4949,35.80757338,8.760620549,3.087332989
9050,37.56065994,9.209398441,3.078513942
5052,28.64978275,7.045915511,3.06615474
6282,37.36581395,9.193937605,3.064179632
2620,36.05267267,8.893724662,3.053720352
13002,37.19258618,9.224415125,3.03197229
4883,36.87372938,9.200439318,3.007822682
6317,37.03370606,9.260231176,2.999220468
5666,37.11995251,9.321177856,2.982324239
10500,36.3669526,9.134997993,2.981057536
2549,26.41294867,6.643634947,2.975677303
3805,33.09182191,8.324489281,2.975237494
9723,36.63773336,9.342770976,2.921506099
5672,38.08098696,9.759943737,2.901762959
2081,36.22353661,9.29782566,2.895914801
10190,35.82801667,9.237401287,2.878581817
5682,35.6530169,9.19516398,2.877366079
4095,36.01488112,9.320919053,2.863876611
7835,34.86283016,9.040126245,2.856453905
6137,36.32813913,9.431759526,2.851682078
4385,36.52854726,9.491853731,2.848410258
9477,34.70606276,9.030505676,2.843202585
4462,36.78728171,9.572494566,2.843019336
5779,34.1727171,8.905022547,2.837465534
13015,29.20557393,7.642786255,2.821325491
5342,34.2818398,8.988285567,2.814057703
10073,34.94674991,9.207115752,2.795624043
9295,35.38852665,9.353458593,2.783469644
9344,33.70660978,8.932323019,2.77355473
9944,35.04012526,9.296292856,2.769257897
12575,31.07137224,8.272586896,2.755943894
10053,31.7986415,8.466491675,2.755822685
4520,34.04903133,9.113120529,2.736264787
11827,34.25752368,9.172360304,2.734864587
1116,34.45355179,9.250856246,2.724363548
10443,34.9103602,9.379111518,2.722139366
994,28.63942825,7.704266658,2.717346442
704,34.47035343,9.298189415,2.70721136
10635,33.7843643,9.155079811,2.690231543
9151,32.01296791,8.680954343,2.687724488
10475,33.56472817,9.103848382,2.686872492
6547,34.33753031,9.314299964,2.686539026
4960,33.55757339,9.109666172,2.683732505
7713,34.04026086,9.249948487,2.680048695
10874,33.25529303,9.048549962,2.675206875
6290,32.84622063,8.942411788,2.673082991
4903,32.78451516,8.937166228,2.668334495
7249,33.01359141,9.000655618,2.667909629
11548,32.16647246,8.770318692,2.667651494
8073,33.70301157,9.209569148,2.65956442
6285,32.958921,9.038949996,2.646321864
6454,31.55842145,8.70860974,2.623818542
5521,33.85095841,9.342759822,2.623229009
4447,32.83801537,9.076107183,2.618072672
9635,34.55746198,9.560004883,2.614795432
